location,forecast_date,quantile,value,target,target_end_date,type
05,2021-05-03,0.9,37.38004023100632,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.95,43.877091152320325,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.975,50.72019496753486,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.99,59.142887098585675,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.01,39.74816893438669,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.025,50.59367578091239,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.05,55.52966986346616,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.1,60.2679787255715,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.15,62.78510610687091,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.2,66.0607769675794,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.25,67.71735351121104,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.3,68.80620633347839,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.35,69.58635748122896,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.4,70.51031954841936,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.45,72.77088732594376,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.5,75.1554967060043,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.55,76.67089747333794,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.6,78.46196912182661,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.65,80.09184894921574,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.7,82.26221777697717,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.75,85.35445205085304,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.8,89.00957125612905,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.85,94.26822515896393,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.9,103.48849299690852,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.95,111.68715093243152,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.975,124.15612201403106,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.99,139.98407204046575,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.01,158.33132993238632,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.025,229.7624781989681,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.05,249.4235240607364,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.1,264.2093134425541,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.15,280.53492551851804,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.2,288.57265087508455,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.25,296.5011480721137,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.3,304.84950939071535,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.35,315.7228689003014,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.4,324.51457509285274,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.45,331.8853952620685,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.5,342.62054882344495,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.55,348.96761390168194,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.6,355.5053906654793,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.65,363.5136984867355,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.7,373.1116950890884,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.75,381.0229349324598,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.8,389.7454823075388,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.85,411.04471952975445,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.9,436.29750080589076,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.95,478.01137141654,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.975,515.0183362511891,1 wk ahead inc death,2021-05-08,quantile
06,2021-05-03,0.99,553.6114174364261,1 wk ahead inc death,2021-05-08,quantile
08,2021-05-03,0.01,32.13276611785819,1 wk ahead inc death,2021-05-08,quantile
08,2021-05-03,0.025,37.44839166479487,1 wk ahead inc death,2021-05-08,quantile
08,2021-05-03,0.05,42.982409895771085,1 wk ahead inc death,2021-05-08,quantile
