location,forecast_date,quantile,value,target,target_end_date,type
02,2021-05-17,0.01,0,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.025,0,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.05,0,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.1,0,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.15,0.4012625792635371,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.2,1.0717611381372967,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.25,1.4417273827866257,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.3,1.8244923523592649,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.35,2.2218288171876974,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.4,2.458316370253876,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.45,2.742340565494765,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.5,2.9909683124660824,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.55,3.187312977606461,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.6,3.25452079366523,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.65,3.457302421012953,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.7,3.614252789293934,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.75,3.880239220934363,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.8,4.305026317038873,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.85,4.642703039454114,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.9,5.196914238899551,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.95,7.211140788519099,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.975,8.71507422840378,1 wk ahead inc death,2021-05-22,quantile
02,2021-05-17,0.99,10.405150831434193,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.01,14.574944942260021,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.025,26.865275484166293,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.05,34.865687769272974,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.1,40.47980867672374,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.15,45.220023499639694,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.2,49.125825976801785,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.25,53.21071130643659,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.3,55.82714900303312,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.35,57.32214212687677,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.4,59.34613653600035,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.45,60.9232035752417,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.5,62.30332087615452,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.55,63.64632599047145,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.6,65.12541600549189,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.65,67.02110996996537,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.7,69.321003615426,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.75,71.56393278787046,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.8,74.13050715485937,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.85,77.80603482323068,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.9,83.48908927509137,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.95,92.04021367281261,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.975,97.63457675529861,1 wk ahead inc death,2021-05-22,quantile
01,2021-05-17,0.99,102.22473710399592,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.01,0,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.025,4.391206031082235,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.05,6.750832175660344,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.1,8.427938625501064,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.15,10.073702922591146,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.2,11.988915643954158,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.25,13.342449841805797,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.3,14.165416464708109,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.35,15.21715327444147,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.4,16.256604929764197,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.45,17.24481900835816,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.5,18.26116321721846,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.55,19.093465206853594,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.6,19.778619505301524,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.65,20.608888778606943,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.7,21.828181824597092,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.75,23.238210559133176,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.8,25.01982121466108,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.85,26.868496339731404,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.9,30.40217305319228,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.95,37.14708695533446,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.975,41.99075902514809,1 wk ahead inc death,2021-05-22,quantile
05,2021-05-17,0.99,47.11949182386515,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.01,7.499957351179361,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.025,20.91046245198161,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.05,28.842124740508144,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.1,35.80623916879822,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.15,40.85033330003552,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.2,46.329082651378556,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.25,51.159105063909664,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.3,54.67766814591351,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.35,57.79021584346159,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.4,60.453590525880315,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.45,63.081257774155816,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.5,65.34021513301163,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.55,67.49540420569454,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.6,69.22149909176528,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.65,71.61069352763012,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.7,74.28726400543393,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.75,77.55942052198962,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.8,81.81480689334097,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.85,86.74658285540276,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.9,94.81007491402114,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.95,111.03862992756832,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.975,122.05702997653187,1 wk ahead inc death,2021-05-22,quantile
04,2021-05-17,0.99,133.18154969269438,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.01,28.78401829805517,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.025,107.4613213551943,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.05,151.94222857377267,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.1,182.44650072452444,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.15,211.2466952688928,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.2,240.28777940783914,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.25,266.1270665920376,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.3,282.7008589898676,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.35,296.62392644026323,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.4,311.10727360151014,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.45,323.1279727729669,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.5,335.81632881892256,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.55,347.1887870133727,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.6,357.0939000554753,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.65,370.2438724192873,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.7,386.20681742509066,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.75,404.40193080025136,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.8,427.37290962312153,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.85,455.80479728649345,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.9,502.22418449568937,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.95,585.7364925350355,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.975,642.6504193360648,1 wk ahead inc death,2021-05-22,quantile
06,2021-05-17,0.99,699.8004496219264,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.01,16.65309819062621,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.025,23.68513877460267,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.05,30.641036494435976,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.1,38.57954268467652,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.15,42.01842128254046,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.2,45.78175615008115,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.25,47.97204185897008,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.3,50.205485654320796,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.35,52.49706483048527,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.4,54.286273627329386,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.45,56.65975289956684,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.5,58.43127036227201,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.55,60.0473629757557,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.6,61.10484248384312,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.65,62.72345137672722,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.7,64.70107466490474,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.75,67.13750867623875,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.8,70.27557173288854,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.85,73.75888431587416,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.9,79.32548895138267,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.95,91.36468853729161,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.975,100.35206855664394,1 wk ahead inc death,2021-05-22,quantile
08,2021-05-17,0.99,110.05828218019984,1 wk ahead inc death,2021-05-22,quantile
