location,forecast_date,quantile,value,target,target_end_date,type
02,2021-05-10,0.01,0,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.025,0.900648166094255,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.05,1.3963881499257995,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.1,1.886180401575186,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.15,2.4901043735345616,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.2,2.9052012568951984,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.25,3.162334666352975,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.3,3.317988152325981,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.35,3.673719900178473,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.4,3.84946224741797,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.45,4.127313582585292,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.5,4.318264755215855,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.55,4.4495288287682815,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.6,4.670084968118314,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.65,4.904282486279382,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.7,5.410326139271649,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.75,5.6411327191544665,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.8,5.961801674685786,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.85,6.5669645089435225,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.9,6.940514933444181,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.95,8.198492476506459,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.975,9.727022601386343,1 wk ahead inc death,2021-05-15,quantile
02,2021-05-10,0.99,12.545695835338163,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.01,16.730582863054256,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.025,26.749765574978248,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.05,31.848665031440873,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.1,36.599265252946196,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.15,41.63041977385693,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.2,45.42883522657642,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.25,48.4290122039491,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.3,50.2425755342059,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.35,52.40379732576309,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.4,54.01652801705981,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.45,55.67018449132459,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.5,57.6556602662282,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.55,59.358047983377084,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.6,60.92682220572067,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.65,63.665583104608835,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.7,65.17835857995631,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.75,67.66874897399141,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.8,71.58850894847181,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.85,74.82146923818665,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.9,82.89672705669723,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.95,92.17878576683206,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.975,101.88673836993289,1 wk ahead inc death,2021-05-15,quantile
01,2021-05-10,0.99,112.00000000000001,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.01,1.9309854598725373,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.025,6.083456270216772,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.05,8.07894050226705,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.1,9.9466337260221,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.15,11.495596923829737,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.2,13.475445442546013,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.25,15.075394056601017,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.3,15.784062079829669,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.35,17.213508019961814,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.4,17.992201817558982,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.45,18.977847826690635,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.5,19.962935458807596,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.55,20.72145550637739,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.6,21.576570265722843,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.65,22.896642648871797,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.7,23.98003665277278,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.75,24.845905239865388,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.8,26.706370488836654,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.85,28.795491535811465,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.9,31.827568469850736,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.95,35.68042254785762,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.975,40.098858843135076,1 wk ahead inc death,2021-05-15,quantile
05,2021-05-10,0.99,45.73936087088145,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.01,12.661318791345348,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.025,26.785992868770183,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.05,34.188247403246294,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.1,39.1415724063944,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.15,44.59225635415759,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.2,49.87915270300268,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.25,54.63691301443157,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.3,57.003361728035344,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.35,60.78711369977349,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.4,63.2246313874131,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.45,65.54863048200356,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.5,67.89535562911271,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.55,69.63935811921115,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.6,71.90415590901088,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.65,75.09341718245855,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.7,77.72017701486376,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.75,80.34666998115358,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.8,84.86930991951021,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.85,91.19646042134207,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.9,100.0566434633233,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.95,117.66606276228035,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.975,130.08613493751236,1 wk ahead inc death,2021-05-15,quantile
04,2021-05-10,0.99,145.8825606890606,1 wk ahead inc death,2021-05-15,quantile
06,2021-05-10,0.01,79.82492957430817,1 wk ahead inc death,2021-05-15,quantile
06,2021-05-10,0.025,148.92048272686554,1 wk ahead inc death,2021-05-15,quantile
06,2021-05-10,0.05,184.65719864360136,1 wk ahead inc death,2021-05-15,quantile
06,2021-05-10,0.1,216.77794721114424,1 wk ahead inc death,2021-05-15,quantile
06,2021-05-10,0.15,249.3069697687768,1 wk ahead inc death,2021-05-15,quantile
06,2021-05-10,0.2,278.7448385474513,1 wk ahead inc death,2021-05-15,quantile
06,2021-05-10,0.25,302.32891818856626,1 wk ahead inc death,2021-05-15,quantile
06,2021-05-10,0.3,314.92488556795746,1 wk ahead inc death,2021-05-15,quantile
06,2021-05-10,0.35,333.6524465480667,1 wk ahead inc death,2021-05-15,quantile
06,2021-05-10,0.4,346.1134531503083,1 wk ahead inc death,2021-05-15,quantile
06,2021-05-10,0.45,359.3617414334096,1 wk ahead inc death,2021-05-15,quantile
06,2021-05-10,0.5,374.1403018469886,1 wk ahead inc death,2021-05-15,quantile
06,2021-05-10,0.55,385.94187084384527,1 wk ahead inc death,2021-05-15,quantile
06,2021-05-10,0.6,398.10244065128046,1 wk ahead inc death,2021-05-15,quantile
06,2021-05-10,0.65,418.80619760501753,1 wk ahead inc death,2021-05-15,quantile
06,2021-05-10,0.7,430.99895823118254,1 wk ahead inc death,2021-05-15,quantile
06,2021-05-10,0.75,446.7367959419989,1 wk ahead inc death,2021-05-15,quantile
